"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"과천시시설관리공단(시민회관)",경기도 과천시 통영로 5,경기도 과천시 중앙동 6-2,시설물관리,115,200,건물전체,30,1996-01,02-500-1163,37.251111,126.591111,2017-04-13
"과천시시설관리공단(관문체육공원)",경기도 과천시 중앙로 294,경기도 과천시 관문동 3번지,시설물관리,53,200,공원전체,30,2010-03,02-500-1163,37.441111,126.991111,2017-04-13
"과천시시설관리공단(문원체육공원)",경기도 과천시 문원로 56,경기도 과천시 문원동 30번지,시설물관리,17,43,공원전체,30,2002-09,02-500-1163,37.421111,127.111111,2017-04-13
"과천시시설관리공단(청소년수련관)",경기도 과천시 참마을로 9,경기도 과천시 문원동 199,시설물관리,35,100,건물전체,30,2007-11,02-500-1163,38.421111,127.111111,2017-04-13
